City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Coffs Harbour,AU,75.16,broken clouds,-30.3,153.1333,
435,Atar,MR,68.36,clear sky,20.5169,-13.0499,
438,Cacheu,GW,75.29,clear sky,12.2706,-16.1658,
440,Tual,ID,83.35,scattered clouds,-5.6667,132.75,
441,San Pedro De Macoris,DO,74.48,broken clouds,18.4616,-69.2972,
445,Werda,BW,68.54,scattered clouds,-25.2667,23.2833,
448,Siavonga,ZM,70.2,light rain,-16.5382,28.7088,
456,Port-Gentil,GA,79.7,scattered clouds,-0.7193,8.7815,
457,Hobyo,SO,76.66,overcast clouds,5.3505,48.5268,
463,Tadine,NC,83.41,overcast clouds,-21.55,167.8833,
464,Tutoia,BR,82.38,clear sky,-2.7619,-42.2744,
471,Kalmunai,LK,79.83,heavy intensity rain,7.4167,81.8167,
476,Poum,NC,81.36,moderate rain,-20.2333,164.0167,
477,Namatanai,PG,85.15,overcast clouds,-3.6667,152.4333,
478,Funadhoo,MV,81.23,scattered clouds,6.15,73.2667,
481,Jacareacanga,BR,72.91,overcast clouds,-6.2222,-57.7528,
482,Balikpapan,ID,83.39,light rain,-1.2675,116.8289,
493,Paragominas,BR,71.47,moderate rain,-2.9667,-47.4833,
494,Pasni,PK,70.32,clear sky,25.2631,63.471,
495,Liwale,TZ,70.59,overcast clouds,-9.7667,37.9333,
499,Majene,ID,85.28,overcast clouds,-3.5403,118.9707,
502,Okato,NZ,68.68,overcast clouds,-39.2,173.8833,
505,Trairi,BR,76.64,clear sky,-3.2778,-39.2689,
506,San Policarpo,PH,80.55,broken clouds,12.1791,125.5072,
510,Nelson Bay,AU,77.11,light rain,-32.7167,152.15,
511,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,
516,Mombasa,KE,76.77,overcast clouds,-4.0547,39.6636,
517,Kimbe,PG,84.43,moderate rain,-5.5502,150.1429,
518,Manapparai,IN,77.86,few clouds,10.6,78.4167,
519,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,
520,Bhimunipatnam,IN,76.51,overcast clouds,17.8833,83.4333,
523,Tevaitoa,PF,80.89,light rain,-16.7833,-151.5,
527,Santiago De Cao,PE,68.13,mist,-7.9589,-79.2392,
529,Isangel,VU,82.51,light rain,-19.55,169.2667,
530,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,
532,Kavaratti,IN,77.86,few clouds,10.5669,72.642,
539,Akyab,MM,69.01,overcast clouds,20.15,92.9,
542,Kolondieba,ML,69.35,clear sky,11.0882,-6.8926,
551,Thaton,MM,83.79,scattered clouds,16.9206,97.3714,
552,Santa Marta,CO,82.45,few clouds,11.2408,-74.199,
556,Bougouni,ML,69.19,clear sky,11.417,-7.479,
558,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,
561,Bundaberg,AU,77.22,broken clouds,-24.85,152.35,
564,Poso,ID,85.78,overcast clouds,-1.3959,120.7524,
567,Burnie,AU,71.94,clear sky,-41.0667,145.9167,
569,Santa Rosa,PH,85.98,overcast clouds,14.3122,121.1114,
570,Anito,PH,80.38,broken clouds,12.4497,125.2886,
575,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,
583,Savannakhet,LA,75.22,broken clouds,16.566,104.751,
584,Santiago Del Estero,AR,68.92,clear sky,-27.7951,-64.2615,
593,Wawa,NG,72.68,clear sky,9.9022,4.4192,
594,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,
600,Carutapera,BR,75.49,overcast clouds,-1.195,-46.02,
601,Upington,ZA,70.18,few clouds,-28.4478,21.2561,
602,Bandarbeyla,SO,75.67,overcast clouds,9.4942,50.8122,
616,San Andres,CO,78.82,few clouds,12.5847,-81.7006,
629,Chochola,MX,71.01,clear sky,20.75,-89.8333,
630,Ballina,AU,75.78,broken clouds,-28.8667,153.5667,
631,Sambava,MG,76.28,scattered clouds,-14.2667,50.1667,
634,Kollam,IN,84.07,scattered clouds,8.8833,76.6,
636,Maragogi,BR,79.3,broken clouds,-9.0122,-35.2225,
638,Saint-Leu,RE,79.66,overcast clouds,-21.15,55.2833,
639,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,
644,Ghanzi,BW,70.07,overcast clouds,-21.5667,21.7833,
649,Sungaipenuh,ID,75.58,overcast clouds,-2.0833,101.3833,
651,Periyapatti,IN,76.71,clear sky,10.75,77.2667,
654,Bonthe,SL,76.44,broken clouds,7.5264,-12.505,
655,Alenquer,BR,79.14,overcast clouds,-1.9417,-54.7383,
662,Kabanjahe,ID,70.56,overcast clouds,3.1001,98.4908,
666,Bacalar,MX,69.01,scattered clouds,18.6667,-88.3833,
668,El Alto,PE,70.03,broken clouds,-4.2714,-81.2147,
674,Rondonopolis,BR,72.93,overcast clouds,-16.4708,-54.6356,
675,Camocim,BR,75.97,few clouds,-2.9022,-40.8411,
681,Bull Savanna,JM,70.59,clear sky,17.8868,-77.5902,
682,Quixeramobim,BR,74.07,scattered clouds,-5.1992,-39.2928,
683,Cap Malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,
684,Le Port,RE,80.6,overcast clouds,-20.9373,55.2919,
